article_id,title,url_category,uc_tags,search_eligible,mapping_method,token_estimate,source_url
ka44J000000gKu7QAE,Issues with the Gumtree App,Troubleshooting,UC-E|UC-K,True,url_category,95,https://help.gumtree.com/s/technical-issues?cat=Troubleshooting&article=Issues-with-the-Gumtree-App
ka44J000000TlTMQA0,Troubleshooting Issues with the Gumtree App,Troubleshooting,UC-E|UC-K,True,url_category,94,https://help.gumtree.com/s/technical-issues?cat=Troubleshooting&article=Issues-with-the-Gumtree-App
ka44J000000gL0tQAE,Posting Ads on the Android App,Creating_Ads,UC-B,True,url_category,825,https://help.gumtree.com/s/basics?cat=Creating_Ads&article=How-to-Post-an-Ad#android
ka44J000000gL2LQAU,Creating a Gumtree Jobs Account,Accounts_Profiles,UC-D,True,url_category,164,https://help.gumtree.com/s/basics?cat=Accounts_Profiles&article=How-to-Create-an-Account
ka4P20000000569IAA,How to Post an Ad,Creating_Ads,UC-B,True,url_category,677,https://help.gumtree.com/s/basics?cat=Creating_Ads&article=How-to-Post-an-Ad
ka44J000000gL0AQAU,Deactivate Account,Account_Issues,UC-D,True,url_category,151,https://help.gumtree.com/s/technical-issues?cat=Account_Issues&article=Deactivating-Your-Account
ka44J000000gKz2QAE,Reporting to the Police,Reporting_Bad_Activity,UC-E|UC-FP,True,url_category,398,https://help.gumtree.com/s/safety?cat=Reporting_Bad_Activity&article=What-to-Do-If-I-ve-Been-Scammed2
ka4P200000002JZIAY,How do I report something to the Police?,Reporting_Bad_Activity,UC-E|UC-FP,True,url_category,408,https://help.gumtree.com/s/safety?cat=Reporting_Bad_Activity&article=Reporting-to-the-Police
ka44J000000gL0FQAU,Deleting Ads,Managing_Ads,UC-B,True,url_category,287,https://help.gumtree.com/s/basics?cat=Managing_Ads&article=How-to-Delete-an-Ad
ka4P200000004JlIAI,How to Delete an Ad,Managing_Ads,UC-B,True,url_category,396,https://help.gumtree.com/s/basics?cat=Managing_Ads&article=How-to-Delete-an-Ad
ka44J000000gKuWQAU,Deactivating Your Account,Account_Issues,UC-D,True,url_category,185,https://help.gumtree.com/s/technical-issues?cat=Account_Issues&article=Deactivating-Your-Account
